	model	level_1	sentid	wordpos_mod	prob	surp	pairid	contextid	lemma	condition	comparison	sentence	ROI
0	distilbert-base-uncased	0	1	0	0.02361440194363235	8.614090204238892	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
1	distilbert-base-uncased	3	1	1	0.0147888250648975	6.079348564147949	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
2	distilbert-base-uncased	6	1	2	0.0003512671974021	11.475143432617188	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
3	distilbert-base-uncased	9	1	3	0.0183450486510992	5.768465042114258	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
4	distilbert-base-uncased	12	1	4	0.0246285628527402	5.3435235023498535	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
5	distilbert-base-uncased	15	1	5	0.35161800713831326	4.587275515436204	1	1	BE	sing	expected	Hello, the student is the chameleon.	3,4
6	distilbert-base-uncased	18	2	0	0.018101953035511497	8.746768951416016	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
7	distilbert-base-uncased	21	2	1	0.0201765466481447	5.631176471710205	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
8	distilbert-base-uncased	24	2	2	2.7968387712462572e-06	18.447771072387695	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
9	distilbert-base-uncased	27	2	3	0.0001458238839404	12.743485450744627	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
10	distilbert-base-uncased	30	2	4	0.0153257064521312	6.027902603149414	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
11	distilbert-base-uncased	33	2	5	0.2959789109190751	4.93948058479873	1	1	BE	sing	unexpected	Hello, the student are the chameleon.	3,4
12	distilbert-base-uncased	36	3	0	0.0341693333466537	8.376917243003845	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
13	distilbert-base-uncased	39	3	1	0.03885218501091	4.6858601570129395	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
14	distilbert-base-uncased	42	3	2	0.0004907849361188	10.992621421813965	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
15	distilbert-base-uncased	45	3	3	0.0023136171512305	8.755634307861328	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
16	distilbert-base-uncased	48	3	4	0.032730933278799	4.933201313018799	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
17	distilbert-base-uncased	51	3	5	0.36398615322832484	4.070593475944861	2	1	LIKE	sing	expected	Hello, the student likes the chameleon.	3,4
18	distilbert-base-uncased	54	4	0	0.01036914641736075	8.194283962249756	2	1	LIKE	sing	unexpected	Hello, the student like the chameleon.	3,4
19	distilbert-base-uncased	57	4	1	0.011949447914958	6.3869123458862305	2	1	LIKE	sing	unexpected	Hello, the student like the chameleon.	3,4
20	distilbert-base-uncased	60	4	2	5.787549162050709e-05	14.076687812805176	2	1	LIKE	sing	unexpected	Hello, the student like the chameleon.	3,4
21	distilbert-base-uncased	63	4	3	0.0017199008725583	9.18345832824707	2	1	LIKE	sing	unexpected	Hello, the student like the chameleon.	3,4
22	distilbert-base-uncased	66	4	4	0.0185617338865995	5.751524448394775	2	1	LIKE	sing	unexpected	Hello, the student like the chameleon.	3,4
23	distilbert-base-uncased	69	4	5	0.3454197845494491	4.35871301432735	2	1	LIKE	sing	unexpected	Hello, the student like the chameleon.	3,4
24	distilbert-base-uncased	72	5	0	0.0233125235754414	8.6893892288208	3	2	BE	sing	expected	Hello, the chameleon is the student.	3,4
25	distilbert-base-uncased	75	5	1	0.0179217364639043	5.802145481109619	3	2	BE	sing	expected	Hello, the chameleon is the student.	3,4
26	distilbert-base-uncased	78	5	2	0.3524728738945366	5.568345122189385	3	2	BE	sing	expected	Hello, the chameleon is the student.	3,4
27	distilbert-base-uncased	81	5	3	0.0047177830711007	7.727674961090088	3	2	BE	sing	expected	Hello, the chameleon is the student.	3,4
28	distilbert-base-uncased	84	5	4	0.0098755899816751	6.661917209625244	3	2	BE	sing	expected	Hello, the chameleon is the student.	3,4
29	distilbert-base-uncased	87	5	5	0.10753563483740429	7.457200884819031	3	2	BE	sing	expected	Hello, the chameleon is the student.	3,4
30	distilbert-base-uncased	90	6	0	0.0156478456265176	8.868187427520752	3	2	BE	sing	unexpected	Hello, the chameleon are the student.	3,4
31	distilbert-base-uncased	93	6	1	0.1044267565011978	3.25943660736084	3	2	BE	sing	unexpected	Hello, the chameleon are the student.	3,4
32	distilbert-base-uncased	96	6	2	0.36655475344741717	5.06121910357615	3	2	BE	sing	unexpected	Hello, the chameleon are the student.	3,4
33	distilbert-base-uncased	99	6	3	3.165540692862123e-05	14.947188377380373	3	2	BE	sing	unexpected	Hello, the chameleon are the student.	3,4
34	distilbert-base-uncased	102	6	4	0.0097066778689622	6.686806678771973	3	2	BE	sing	unexpected	Hello, the chameleon are the student.	3,4
35	distilbert-base-uncased	105	6	5	0.09374686819205634	9.735352516174316	3	2	BE	sing	unexpected	Hello, the chameleon are the student.	3,4
36	distilbert-base-uncased	108	7	0	0.0452655184999457	7.924477100372315	4	2	LIKE	sing	expected	Hello, the chameleon likes the student.	3,4
37	distilbert-base-uncased	111	7	1	0.0376297011971473	4.7319841384887695	4	2	LIKE	sing	expected	Hello, the chameleon likes the student.	3,4
38	distilbert-base-uncased	114	7	2	0.34980770815551904	5.074721990529421	4	2	LIKE	sing	expected	Hello, the chameleon likes the student.	3,4
39	distilbert-base-uncased	117	7	3	0.0002202750911237	12.14840602874756	4	2	LIKE	sing	expected	Hello, the chameleon likes the student.	3,4
40	distilbert-base-uncased	120	7	4	0.0197577979415655	5.661433696746826	4	2	LIKE	sing	expected	Hello, the chameleon likes the student.	3,4
41	distilbert-base-uncased	123	7	5	0.11825631655960932	9.793834567070007	4	2	LIKE	sing	expected	Hello, the chameleon likes the student.	3,4
42	distilbert-base-uncased	126	8	0	0.0183774513425305	7.370084762573242	4	2	LIKE	sing	unexpected	Hello, the chameleon like the student.	3,4
43	distilbert-base-uncased	129	8	1	0.0271306280046701	5.2039337158203125	4	2	LIKE	sing	unexpected	Hello, the chameleon like the student.	3,4
44	distilbert-base-uncased	132	8	2	0.3365315285603477	6.825672949874085	4	2	LIKE	sing	unexpected	Hello, the chameleon like the student.	3,4
45	distilbert-base-uncased	135	8	3	6.893793033668771e-05	13.824342727661133	4	2	LIKE	sing	unexpected	Hello, the chameleon like the student.	3,4
46	distilbert-base-uncased	138	8	4	0.0112915905192494	6.468607425689697	4	2	LIKE	sing	unexpected	Hello, the chameleon like the student.	3,4
