	textid	condition	wordpos	model	token	word	tokenizer	punctuation	target	predicted	prob	text
0	1	full	0	distilbert-base-uncased	the	The	distilbert-base-uncased	False	O	B-location	0.1114840731024742	The Golden State Warrirors are an American professional basketball team based in San Francisco.
1	1	full	1	distilbert-base-uncased	golden	Golden	distilbert-base-uncased	False	B-location	I-creative-work	0.1146454364061355	The Golden State Warrirors are an American professional basketball team based in San Francisco.
2	1	full	2	distilbert-base-uncased	state	State	distilbert-base-uncased	False	I-location	I-location	0.0970725268125534	The Golden State Warrirors are an American professional basketball team based in San Francisco.
3	1	full	3	distilbert-base-uncased	war	Warrirors	distilbert-base-uncased	False	B-group	I-creative-work	0.1131590604782104	The Golden State Warrirors are an American professional basketball team based in San Francisco.
4	1	full	4	distilbert-base-uncased	are	are	distilbert-base-uncased	False	O	I-location	0.1247082650661468	The Golden State Warrirors are an American professional basketball team based in San Francisco.
5	1	full	5	distilbert-base-uncased	an	an	distilbert-base-uncased	False	O	B-creative-work	0.1204152628779411	The Golden State Warrirors are an American professional basketball team based in San Francisco.
6	1	full	6	distilbert-base-uncased	american	American	distilbert-base-uncased	False	O	I-product	0.1074279472231864	The Golden State Warrirors are an American professional basketball team based in San Francisco.
7	1	full	7	distilbert-base-uncased	professional	professional	distilbert-base-uncased	False	O	B-location	0.1174657642841339	The Golden State Warrirors are an American professional basketball team based in San Francisco.
8	1	full	8	distilbert-base-uncased	basketball	basketball	distilbert-base-uncased	False	O	B-location	0.1275961548089981	The Golden State Warrirors are an American professional basketball team based in San Francisco.
9	1	full	9	distilbert-base-uncased	team	team	distilbert-base-uncased	False	O	B-creative-work	0.1240391433238983	The Golden State Warrirors are an American professional basketball team based in San Francisco.
10	1	full	10	distilbert-base-uncased	based	based	distilbert-base-uncased	False	O	I-product	0.1034300550818443	The Golden State Warrirors are an American professional basketball team based in San Francisco.
11	1	full	11	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	I-creative-work	0.1025166735053062	The Golden State Warrirors are an American professional basketball team based in San Francisco.
12	1	full	12	distilbert-base-uncased	san	San	distilbert-base-uncased	False	B-location	I-creative-work	0.1230011507868766	The Golden State Warrirors are an American professional basketball team based in San Francisco.
13	1	full	13	distilbert-base-uncased	francisco	Francisco	distilbert-base-uncased	False	B-location	B-location	0.1064496114850044	The Golden State Warrirors are an American professional basketball team based in San Francisco.
14	1	full	14	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	I-creative-work	0.1323090195655822	The Golden State Warrirors are an American professional basketball team based in San Francisco.
15	2	full	0	distilbert-base-uncased	klein	Kleinfeltersville	distilbert-base-uncased	False	B-location	B-creative-work	0.0902390629053115	Kleinfeltersville is a town in Pennsylvania.
16	2	full	1	distilbert-base-uncased	is	is	distilbert-base-uncased	False	O	O	0.1354367434978485	Kleinfeltersville is a town in Pennsylvania.
17	2	full	2	distilbert-base-uncased	a	a	distilbert-base-uncased	False	O	I-person	0.1158299446105957	Kleinfeltersville is a town in Pennsylvania.
18	2	full	3	distilbert-base-uncased	town	town	distilbert-base-uncased	False	O	O	0.0998913273215293	Kleinfeltersville is a town in Pennsylvania.
19	2	full	4	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	O	0.1177190244197845	Kleinfeltersville is a town in Pennsylvania.
20	2	full	5	distilbert-base-uncased	pennsylvania	Pennsylvania	distilbert-base-uncased	False	B-location	O	0.1092581823468208	Kleinfeltersville is a town in Pennsylvania.
21	2	full	6	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	I-creative-work	0.124199092388153	Kleinfeltersville is a town in Pennsylvania.
22	3	full	0	distilbert-base-uncased	no	Noam	distilbert-base-uncased	False	B-person	B-group	0.1167090609669685	Noam Chomsky is a soft revolution.
23	3	full	1	distilbert-base-uncased	cho	Chomsky	distilbert-base-uncased	False	I-person	O	0.10024144500494	Noam Chomsky is a soft revolution.
24	3	full	2	distilbert-base-uncased	is	is	distilbert-base-uncased	False	O	I-location	0.0954140126705169	Noam Chomsky is a soft revolution.
25	3	full	3	distilbert-base-uncased	a	a	distilbert-base-uncased	False	O	I-location	0.0919667184352874	Noam Chomsky is a soft revolution.
26	3	full	4	distilbert-base-uncased	soft	soft	distilbert-base-uncased	False	O	I-location	0.0969627201557159	Noam Chomsky is a soft revolution.
27	3	full	5	distilbert-base-uncased	revolution	revolution	distilbert-base-uncased	False	O	I-location	0.0904372856020927	Noam Chomsky is a soft revolution.
28	3	full	6	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	I-creative-work	0.1317496746778488	Noam Chomsky is a soft revolution.
